"Points:0","Points:1","Points:2"
-415.23834,-635.50098,545
-415.19193,-635.64392,545
-407.79926,-657.37903,545
-407.77829,-657.42426,545
-407.74719,-657.48273,545
-415.16498,-635.75165,545
-415.16394,-635.75403,545
-415.15613,-635.77283,545
-414.38058,-637.39557,545
-414.37479,-637.4071,545
-414.44223,-637.27087,545
-405.85565,-656.76117,545
-405.85049,-656.69757,545
-405.83813,-656.5119,545
-406.37631,-652.35651,545
-406.37656,-652.35553,545
-406.38055,-652.33917,545
-410.03583,-649.56476,545
-410.03308,-649.57513,545
-410.06537,-649.45471,545
-411.39474,-644.76257,545
-411.39075,-644.77551,545
-411.43149,-644.64227,545
-412.51642,-641.49463,545
-412.51431,-641.50024,545
-412.55493,-641.39331,545
-408.7587,-654.36938,545
-408.7533,-654.38922,545
-408.80905,-654.18158,545
-409.36871,-652.09094,545
-409.36282,-652.1131,545
-409.41406,-651.91858,545
-414.56989,-635.9079,545
-414.71884,-635.7796,545
-414.39499,-636.07733,545
-409.13058,-644.67151,545
-409.13785,-644.65552,545
-409.18219,-644.55902,545
-414.27054,-637.61578,545
-414.25864,-637.63959,545
-406.31781,-652.60828,545
-406.32083,-652.59564,545
-408.30649,-646.53442,545
-408.30966,-646.52667,545
-408.33011,-646.47778,545
-410.67197,-647.27545,545
-410.6658,-647.29883,545
-410.71918,-647.09412,545
-409.9928,-642.81366,545
-410.00095,-642.79742,545
-410.05682,-642.68646,545
-411.60883,-639.8009,545
-411.6145,-639.79169,545
-411.57791,-639.85266,545
-412.42838,-641.72638,545
-412.41968,-641.74945,545
-409.97571,-649.7926,545
-409.96631,-649.82813,545
-412.74701,-638.05005,545
-412.75821,-638.03497,545
-412.65689,-638.17627,545
-406.25885,-652.86426,545
-406.26309,-652.84589,545
-411.32501,-644.99017,545
-411.31375,-645.02667,545
-405.86987,-656.85632,545
-414.16125,-637.83392,545
-414.14227,-637.87128,545
-407.23456,-649.39667,545
-407.24966,-649.35272,545
-407.31683,-649.15558,545
-407.39685,-648.92139,545
-408.69516,-654.59845,545
-408.68259,-654.64313,545
-406.20319,-653.11487,545
-406.2103,-653.08319,545
-406.30688,-658.24005,545
-406.2915,-658.22186,545
-406.25754,-658.15491,545
-409.00925,-644.94012,545
-409.03296,-644.88763,545
-410.61069,-647.50702,545
-410.59793,-647.5545,545
-409.30954,-652.3194,545
-409.29715,-652.36676,545
-412.34158,-641.95752,545
-412.32639,-641.99866,545
-414.0499,-638.05292,545
-414.02463,-638.10211,545
-408.11938,-646.99622,545
-408.13831,-646.9494,545
-408.21274,-646.76239,545
-412.89929,-637.84399,545
-412.9292,-637.8045,545
-406.1503,-653.36548,545
-406.16086,-653.31598,545
-409.91605,-650.02057,545
-409.9003,-650.08112,545
-409.86395,-643.07568,545
-409.88699,-643.02734,545
-411.25684,-645.21869,545
-411.23883,-645.2796,545
-411.74646,-639.57513,545
-411.7735,-639.53162,545
-408.63153,-654.82617,545
-408.61255,-654.89374,545
-407.15457,-649.63818,545
-407.17618,-649.57373,545
-414.00427,-638.14264,545
-406.09845,-653.62061,545
-406.11005,-653.56335,545
-412.25427,-642.19806,545
-412.23343,-642.25592,545
-409.25107,-652.54584,545
-409.23193,-652.6192,545
-408.02539,-647.23492,545
-408.05301,-647.16583,545
-410.54749,-647.74243,545
-410.52884,-647.81134,545
-406.73563,-658.55341,545
-406.62732,-658.53778,545
-407.03998,-658.40729,545
-406.93842,-658.4931,545
-405.84564,-655.79974,545
-405.84808,-655.73126,545
-405.83319,-656.21838,545
-405.83554,-656.09192,545
-414.9194,-635.61243,545
-415.06302,-635.51147,545
-412.16846,-642.43744,545
-412.14316,-642.50793,545
-408.8912,-645.20117,545
-408.9281,-645.12006,545
-406.05093,-653.87476,545
-406.06369,-653.80579,545
-413.8316,-638.48743,545
-413.79263,-638.56531,545
-413.92728,-638.29541,545
-413.90787,-638.33301,545
-406.46332,-658.4325,545
-409.85632,-650.25433,545
-409.83484,-650.33783,545
-413.05508,-637.638,545
-413.10583,-637.57178,545
-411.18814,-645.44965,545
-411.16376,-645.53137,545
-405.85065,-655.66156,545
-407.0762,-649.88092,545
-407.10352,-649.79639,545
-406.00739,-654.1355,545
-406.01984,-654.06097,545
-409.73953,-643.34021,545
-409.77765,-643.25739,545
-411.88171,-639.35663,545
-411.93192,-639.2774,545
-405.85837,-655.45642,545
-405.86273,-655.37299,545
-408.56595,-655.06409,545
-408.54144,-655.15363,545
-408.02457,-656.84613,545
-407.98642,-656.94958,545
-408.14548,-656.50153,545
-408.07431,-656.70996,545
-405.96722,-654.39673,545
-405.97873,-654.32202,545
-410.48254,-647.97479,545
-410.45752,-648.0625,545
-407.93289,-647.47394,545
-407.96844,-647.38281,545
-405.89825,-654.91602,545
-405.9101,-654.82709,545
-405.93121,-654.65936,545
-405.94281,-654.57727,545
-405.87076,-655.19019,545
-405.87863,-655.10931,545
-412.08542,-642.67029,545
-412.0531,-642.7594,545
-409.19229,-652.76904,545
-409.16473,-652.87006,545
-413.7254,-638.70404,545
-413.67938,-638.79816,545
-411.11993,-645.67853,545
-411.0889,-645.78259,545
-408.50137,-655.30078,545
-408.47232,-655.40649,545
-406.99762,-650.12653,545
-407.02869,-650.02863,545
-410.67017,-641.51031,545
-410.75287,-641.35168,545
-410.83533,-641.19147,545
-409.79776,-650.4826,545
-409.76938,-650.59009,545
-410.40799,-642.00641,545
-410.4881,-641.85425,545
-410.57498,-641.69098,545
-415.07199,-635.49854,545
-413.61966,-638.92194,545
-413.56714,-639.03064,545
-413.21198,-637.43372,545
-413.27829,-637.34924,545
-410.41681,-648.20172,545
-410.38394,-648.31433,545
-408.76773,-645.47241,545
-408.82095,-645.3548,545
-412.00311,-642.90411,545
-411.96555,-643.01221,545
-406.9212,-650.37286,545
-406.95627,-650.25964,545
-407.8385,-647.7121,545
-407.8829,-647.60022,545
-409.61768,-643.60718,545
-409.67047,-643.49023,545
-407.94159,-657.05566,545
-407.88727,-657.18579,545
-412.02252,-639.13385,545
-412.09082,-639.02692,545
-409.12958,-652.99921,545
-409.09454,-653.12555,545
-413.51819,-639.13336,545
-413.46738,-639.23993,545
-408.43939,-655.52448,545
-408.4024,-655.65631,545
-413.36902,-637.23456,545
-413.45303,-637.13177,545
-411.05243,-645.90576,545
-411.0141,-646.03479,545
-407.2977,-658.16254,545
-407.17261,-658.29663,545
-411.92242,-643.13861,545
-411.87875,-643.26459,545
-410.87936,-641.10577,545
-410.9577,-640.95581,545
-411.00739,-640.85962,545
-411.12854,-640.63232,545
-409.73828,-650.70929,545
-409.70273,-650.84271,545
-405.94388,-657.29303,545
-405.90936,-657.1272,545
-405.89053,-657.02466,545
-406.03647,-657.6236,545
-405.9577,-657.35431,545
-406.1586,-657.96033,545
-406.09799,-657.79688,545
-406.06342,-657.70496,545
-406.84738,-650.61646,545
-406.88794,-650.48254,545
-410.3511,-648.42926,545
-410.31161,-648.56848,545
-407.74567,-647.95044,545
-407.79745,-647.81659,545
-411.84204,-643.37299,545
-411.79327,-643.51514,545
-409.06491,-653.23383,545
-409.02466,-653.38135,545
-408.64822,-645.73907,545
-408.71548,-645.58881,545
-409.49753,-643.87305,545
-409.56485,-643.7243,545
-412.16388,-638.91284,545
-412.25067,-638.77924,545
-413.53204,-637.03442,545
-413.63519,-636.91339,545
-413.41998,-639.34052,545
-413.35495,-639.47961,545
-410.98499,-646.1322,545
-410.93994,-646.2851,545
-410.28568,-648.66235,545
-410.24207,-648.82007,545
-409.67676,-650.94086,545
-409.634,-651.10052,545
-408.37653,-655.74994,545
-408.33075,-655.91138,545
-413.30701,-639.58423,545
-413.22968,-639.75281,545
-413.18558,-639.85095,545
-413.11722,-640.00232,545
-406.77606,-650.86169,545
-406.82175,-650.70477,545
-407.47266,-657.94025,545
-407.35944,-658.0899,545
-407.68082,-648.12378,545
-411.76392,-643.60315,545
-411.70969,-643.76611,545
-405.83664,-656.47662,545
-413.07996,-640.08765,545
-413.01016,-640.24786,545
-409.00165,-653.466,545
-408.95566,-653.6344,545
-406.7052,-651.11035,545
-406.75385,-650.94061,545
-413.6973,-636.83905,545
-413.81845,-636.70184,545
-409.61353,-651.17609,545
-409.56516,-651.35229,545
-412.30258,-638.69934,545
-412.41919,-638.52313,545
-407.65967,-657.64917,545
-407.54883,-657.82629,545
-408.51041,-646.05261,545
-408.58234,-645.88745,545
-408.61127,-645.82196,545
-409.35422,-644.18872,545
-409.43057,-644.02252,545
-409.46042,-643.95612,545
-408.30917,-655.98474,545
-408.25443,-656.16486,545
-410.91876,-646.35699,545
-410.86731,-646.53522,545
-406.63574,-651.36298,545
-406.68497,-651.18439,545
-410.22235,-648.88947,545
-410.17059,-649.07086,545
-414.92935,-636.30945,545
-414.84076,-636.48126,545
-414.98337,-636.1983,545
-414.95908,-636.25159,545
-411.68781,-643.83392,545
-411.62778,-644.01666,545
-412.98145,-640.31726,545
-412.90652,-640.50037,545
-406.56943,-651.60956,545
-406.61877,-651.42621,545
-408.93903,-653.69604,545
-408.88788,-653.88507,545
-413.86572,-636.64783,545
-414.00299,-636.49683,545
-412.88272,-640.55933,545
-412.8067,-640.74835,545
-411.34042,-640.25507,545
-411.45352,-640.06189,545
-411.14194,-640.60736,545
-411.30988,-640.30981,545
-407.56958,-648.42725,545
-407.63647,-648.24335,545
-407.65546,-648.1911,545
-408.42169,-646.25964,545
-410.23221,-642.3429,545
-410.32425,-642.16675,545
-410.12457,-642.55255,545
-409.25739,-644.39514,545
-409.55139,-651.40289,545
-409.49634,-651.60638,545
-408.23862,-656.21545,545
-408.1731,-656.41956,545
-410.85315,-646.58716,545
-410.79706,-646.79419,545
-414.81915,-636.52368,545
-414.72302,-636.71234,545
-410.35672,-642.10443,545
-411.61307,-644.06293,545
-411.54678,-644.26965,545
-406.50296,-651.85736,545
-406.55756,-651.65411,545
-414.03693,-636.45935,545
-414.1908,-636.29303,545
-410.15921,-649.11151,545
-410.1015,-649.31964,545
-412.44968,-638.47717,545
-412.5892,-638.27191,545
-410.62207,-641.60236,545
-412.78998,-640.78986,545
-412.70773,-640.99609,545
-407.48358,-648.66974,545
-407.55679,-648.46368,545
-408.87936,-653.9173,545
-408.82117,-654.13623,545
-414.70749,-636.74304,545
-414.60492,-636.94489,545
-410.78888,-646.82507,545
-410.73132,-647.04736,545
-411.47202,-640.03009,545
-406.43738,-652.10614,545
-406.49576,-651.88477,545
-409.48923,-651.63324,545
-409.42905,-651.86157,545
-408.40948,-646.28815,545
-414.22845,-636.25342,545
-414.38608,-636.08618,545
-414.21072,-636.27173,545
-407.39984,-648.9126,545
-407.47598,-648.69232,545
-411.539,-644.29462,545
-411.46756,-644.52435,545
-414.59433,-636.96588,545
-414.48883,-637.1767,545
-409.24588,-644.4201,545
-412.69879,-641.01886,545
-412.6105,-641.24713,545
-410.10846,-642.58405,545
-406.4342,-652.1192,545
-411.46399,-644.53589,545
-410.09827,-649.33148,545
-412.59677,-638.26074,545
-414.48505,-637.18433,545
-412.60757,-641.25476,545
-405.83667,-656.48804,545
-409.42734,-651.8681,545
-410.72998,-647.05255,545
-408.82001,-654.14063,545
